date,game_pk,home_team,away_team,season,margin_edge,side,is_dog,odds_used,ml_units,actual_f5_margin,won,push,profit,bet_type,model_total,consensus_f5_total,edge,actual_f5_total,model_nrfi_prob,market_nrfi_prob,actual_nrfi
2024-05-20,746637,Cleveland Guardians,New York Mets,2024,-0.784,AWAY_F5_ML,True,335.0,1.5,2.0,False,False,-150.0,f5_ml,,,,,,,
2024-05-20,747121,Atlanta Braves,San Diego Padres,2024,-1.194,AWAY_F5_ML,True,410.0,2.0,3.0,False,False,-200.0,f5_ml,,,,,,,
2024-05-20,747119,Atlanta Braves,San Diego Padres,2024,-1.119,AWAY_F5_ML,True,410.0,2.0,4.0,False,False,-200.0,f5_ml,,,,,,,
2024-05-20,745181,St. Louis Cardinals,Baltimore Orioles,2024,1.366,HOME_F5_ML,False,-135.0,2.0,5.0,True,False,148.0,f5_ml,,,,,,,
2024-05-21,746633,Cleveland Guardians,New York Mets,2024,-2.857,AWAY_F5_ML,True,1000.0,3.0,3.0,False,False,-300.0,f5_ml,,,,,,,
2024-05-21,745742,New York Yankees,Seattle Mariners,2024,0.516,HOME_F5_ML,False,-160.0,1.0,-2.0,False,False,-100.0,f5_ml,,,,,,,
2024-05-21,746875,Chicago Cubs,Atlanta Braves,2024,0.97,HOME_F5_ML,True,-108.0,1.5,-1.0,False,False,-150.0,f5_ml,,,,,,,
2024-05-21,746385,Houston Astros,Los Angeles Angels,2024,-0.565,AWAY_F5_ML,True,170.0,1.0,-2.0,True,False,170.0,f5_ml,,,,,,,
2024-05-21,746145,Los Angeles Dodgers,Arizona Diamondbacks,2024,-0.694,AWAY_F5_ML,True,195.0,1.0,-2.0,True,False,195.0,f5_ml,,,,,,,
2024-05-22,746712,Cincinnati Reds,San Diego Padres,2024,-0.519,AWAY_F5_ML,False,-130.0,1.0,-4.0,True,False,77.0,f5_ml,,,,,,,
2024-05-22,746063,Miami Marlins,Milwaukee Brewers,2024,-0.692,AWAY_F5_ML,True,140.0,1.0,1.0,False,False,-100.0,f5_ml,,,,,,,
2024-05-22,745089,Tampa Bay Rays,Boston Red Sox,2024,-0.606,AWAY_F5_ML,True,120.0,1.0,-2.0,True,False,120.0,f5_ml,,,,,,,
2024-05-22,744933,Toronto Blue Jays,Chicago White Sox,2024,0.839,HOME_F5_ML,False,-230.0,1.5,9.0,True,False,65.0,f5_ml,,,,,,,
2024-05-22,746876,Chicago Cubs,Atlanta Braves,2024,-0.781,AWAY_F5_ML,False,-129.0,1.5,-2.0,True,False,116.0,f5_ml,,,,,,,
2024-05-23,746474,Detroit Tigers,Toronto Blue Jays,2024,0.7,HOME_F5_ML,False,-120.0,1.0,-1.0,False,False,-100.0,f5_ml,,,,,,,
2024-05-24,745087,Tampa Bay Rays,Kansas City Royals,2024,0.553,HOME_F5_ML,True,-101.0,1.0,-4.0,False,False,-100.0,f5_ml,,,,,,,
2024-05-24,744853,Washington Nationals,Seattle Mariners,2024,-0.686,AWAY_F5_ML,False,-142.0,1.0,2.0,False,False,-100.0,f5_ml,,,,,,,
2024-05-24,745822,New York Mets,San Francisco Giants,2024,-0.715,AWAY_F5_ML,True,130.0,1.0,3.0,False,False,-100.0,f5_ml,,,,,,,
2024-05-25,746556,Colorado Rockies,Philadelphia Phillies,2024,-0.53,AWAY_F5_ML,False,-200.0,1.0,1.0,False,False,-100.0,f5_ml,,,,,,,
2024-05-26,745172,St. Louis Cardinals,Chicago Cubs,2024,0.9,HOME_F5_ML,False,-161.0,1.5,4.0,True,False,93.0,f5_ml,,,,,,,
2024-05-27,745416,San Diego Padres,Miami Marlins,2024,0.52,HOME_F5_ML,False,-228.0,1.0,0.0,False,True,0.0,f5_ml,,,,,,,
2024-05-28,745816,New York Mets,Los Angeles Dodgers,2024,-0.696,AWAY_F5_ML,False,-120.0,1.0,-2.0,True,False,83.0,f5_ml,,,,,,,
2024-05-28,745818,New York Mets,Los Angeles Dodgers,2024,-0.842,AWAY_F5_ML,False,-120.0,1.5,2.0,False,False,-150.0,f5_ml,,,,,,,
2024-05-28,747033,Baltimore Orioles,Boston Red Sox,2024,0.633,HOME_F5_ML,False,-129.0,1.0,-1.0,False,False,-100.0,f5_ml,,,,,,,
2024-05-28,745091,Tampa Bay Rays,Oakland Athletics,2024,0.534,HOME_F5_ML,False,-166.0,1.0,0.0,False,True,0.0,f5_ml,,,,,,,
2024-05-29,745333,San Francisco Giants,Philadelphia Phillies,2024,0.609,HOME_F5_ML,True,108.0,1.0,-4.0,False,False,-100.0,f5_ml,,,,,,,
2024-05-30,747114,Atlanta Braves,Washington Nationals,2024,0.563,HOME_F5_ML,False,-170.0,1.0,-2.0,False,False,-100.0,f5_ml,,,,,,,
2024-05-31,747116,Atlanta Braves,Oakland Athletics,2024,-0.696,AWAY_F5_ML,True,180.0,1.0,2.0,False,False,-100.0,f5_ml,,,,,,,
2024-06-02,746383,Houston Astros,Minnesota Twins,2024,0.662,HOME_F5_ML,False,-145.0,1.0,1.0,True,False,69.0,f5_ml,,,,,,,
2024-06-02,747030,Baltimore Orioles,Tampa Bay Rays,2024,-0.61,AWAY_F5_ML,True,105.0,1.0,2.0,False,False,-100.0,f5_ml,,,,,,,
2024-06-02,745984,Milwaukee Brewers,Chicago White Sox,2024,0.617,HOME_F5_ML,False,-280.0,1.0,1.0,True,False,36.0,f5_ml,,,,,,,
2024-06-03,745569,Philadelphia Phillies,Milwaukee Brewers,2024,0.785,HOME_F5_ML,False,-215.0,1.5,3.0,True,False,70.0,f5_ml,,,,,,,
2024-06-04,746060,Miami Marlins,Tampa Bay Rays,2024,-1.044,AWAY_F5_ML,True,495.0,2.0,-6.0,True,False,990.0,f5_ml,,,,,,,
2024-06-04,745739,New York Yankees,Minnesota Twins,2024,0.522,HOME_F5_ML,False,-179.0,1.0,3.0,True,False,56.0,f5_ml,,,,,,,
2024-06-05,746056,Miami Marlins,Tampa Bay Rays,2024,1.294,HOME_F5_ML,True,500.0,2.0,-2.0,False,False,-200.0,f5_ml,,,,,,,
2024-06-05,746221,Los Angeles Angels,San Diego Padres,2024,-0.866,AWAY_F5_ML,True,105.0,1.5,3.0,False,False,-150.0,f5_ml,,,,,,,
2024-06-06,745495,Pittsburgh Pirates,Los Angeles Dodgers,2024,2.078,HOME_F5_ML,True,925.0,3.0,-6.0,False,False,-300.0,f5_ml,,,,,,,
2024-06-06,744844,Washington Nationals,Atlanta Braves,2024,-0.602,AWAY_F5_ML,False,-140.0,1.0,0.0,False,True,0.0,f5_ml,,,,,,,
2024-06-06,745738,New York Yankees,Minnesota Twins,2024,-0.555,AWAY_F5_ML,True,115.0,1.0,3.0,False,False,-100.0,f5_ml,,,,,,,
2024-06-06,746707,Cincinnati Reds,Chicago Cubs,2024,0.964,HOME_F5_ML,False,-131.0,1.5,1.0,True,False,115.0,f5_ml,,,,,,,
2024-06-07,746704,Cincinnati Reds,Chicago Cubs,2024,0.907,HOME_F5_ML,False,-131.0,1.5,3.0,True,False,115.0,f5_ml,,,,,,,
2024-06-07,746785,Chicago White Sox,Boston Red Sox,2024,0.646,HOME_F5_ML,True,184.0,1.0,2.0,True,False,184.0,f5_ml,,,,,,,
2024-06-09,746705,Cincinnati Reds,Chicago Cubs,2024,-0.765,AWAY_F5_ML,False,-135.0,1.5,-3.0,True,False,111.0,f5_ml,,,,,,,
2024-06-10,745080,Tampa Bay Rays,Baltimore Orioles,2024,-0.731,AWAY_F5_ML,False,-148.0,1.0,-2.0,True,False,68.0,f5_ml,,,,,,,
2024-06-11,746702,Cincinnati Reds,Cleveland Guardians,2024,-0.792,AWAY_F5_ML,True,100.0,1.5,-2.0,True,False,150.0,f5_ml,,,,,,,
2024-06-11,745899,Minnesota Twins,Colorado Rockies,2024,-0.502,AWAY_F5_ML,True,150.0,1.0,0.0,False,True,0.0,f5_ml,,,,,,,
2024-06-11,745404,San Diego Padres,Oakland Athletics,2024,-0.632,AWAY_F5_ML,True,192.0,1.0,2.0,False,False,-100.0,f5_ml,,,,,,,
2024-06-11,745244,Seattle Mariners,Chicago White Sox,2024,0.799,HOME_F5_ML,False,-190.0,1.5,-1.0,False,False,-150.0,f5_ml,,,,,,,
2024-06-12,746948,Boston Red Sox,Philadelphia Phillies,2024,-0.678,AWAY_F5_ML,True,-110.0,1.0,2.0,False,False,-100.0,f5_ml,,,,,,,
2024-06-13,746299,Kansas City Royals,New York Yankees,2024,0.838,HOME_F5_ML,True,120.0,1.5,2.0,True,False,180.0,f5_ml,,,,,,,
2024-06-13,745075,Tampa Bay Rays,Chicago Cubs,2024,0.65,HOME_F5_ML,True,-106.0,1.0,-2.0,False,False,-100.0,f5_ml,,,,,,,
2024-06-13,745809,New York Mets,Miami Marlins,2024,0.675,HOME_F5_ML,False,-218.0,1.0,0.0,False,True,0.0,f5_ml,,,,,,,
2024-06-14,747025,Baltimore Orioles,Philadelphia Phillies,2024,0.595,HOME_F5_ML,False,-140.0,1.0,-1.0,False,False,-100.0,f5_ml,,,,,,,
2024-06-14,746947,Boston Red Sox,New York Yankees,2024,-0.926,AWAY_F5_ML,False,-150.0,1.5,-4.0,True,False,100.0,f5_ml,,,,,,,
2024-06-14,744924,Toronto Blue Jays,Cleveland Guardians,2024,-0.588,AWAY_F5_ML,True,135.0,1.0,-3.0,True,False,135.0,f5_ml,,,,,,,
2024-06-14,747112,Atlanta Braves,Tampa Bay Rays,2024,0.761,HOME_F5_ML,False,-198.0,1.5,6.0,True,False,76.0,f5_ml,,,,,,,
